Y_q \ X_q,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
0.10,-0.7792,+2.1815,+0.6263,+5.3060,+2.4980,+2.4882,-1.3534,-0.5188,-1.0152
0.20,-0.8485,+2.6370,+2.2414,+3.3154,+1.7364,-0.1825,+1.7556,-0.5616,+0.9136
0.30,-0.9089,+2.9997,+2.0435,+0.9715,+3.2327,+0.6944,+2.0813,-0.3501,+0.9625
0.40,-0.9867,+2.2393,+0.9699,-0.3938,+1.7105,-1.6751,+1.0268,-0.2692,+0.9858
0.50,+0.3698,+0.7659,-1.0390,-0.7491,+3.1247,-1.4286,+0.9506,-1.2582,+1.2450
0.60,+0.8131,-1.7123,-1.5643,-0.8336,-1.3975,-0.6704,+0.7853,-1.0516,+0.3456
0.70,+0.7456,-1.5192,-1.5475,-1.5088,+0.6355,-2.0461,+1.5792,-0.9659,-0.2663
0.80,-0.7923,-1.2780,-1.5167,-2.6480,+1.0847,+2.5681,+1.5584,-0.9910,+0.1352
0.90,+0.3361,-0.8868,+2.7603,-1.7630,+0.0087,+0.7445,-1.6577,+0.4428,+0.6575
